ASPM : City Pair Analysis : All Flights Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
From 4/1/2024 To 6/28/2024 Days Omitted ; Departure=DFW : Use Flight Plan,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Departure,Arrival,Date,Departure Hour,Flight Count,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,EDCT,EDCT>0,Gate Departure Delay,Taxi Out Delay,Average Taxi Out Time,Airport Departure Delay,Airborne Delay,Taxi In Delay,Block Delay,Gate Arrival Delay
DFW,3R9,6/21/24,9,1,100,100,0,0,0,0,8.6,20,9,8,0,15,17
DFW,AAO,4/24/24,11,1,0,0,0,0,0,43,3.6,15,47,4,0,10,52
DFW,ABE,6/18/24,21,1,0,0,0,0,0,23,6.6,18,30,2,0.9,12,34
DFW,ABI,4/1/24,8,1,100,100,100,0,0,0,16.6,28,11,8,0,9,3
DFW,ABI,4/1/24,13,1,100,100,100,0,0,0,0,10,0,4,0,0,0
DFW,ABI,4/1/24,16,1,100,100,0,0,0,0,12.6,24,13,25,0.6,26,26
DFW,ABI,4/1/24,18,1,100,0,0,0,0,4,32.6,44,37,34,1.6,57,61
DFW,ABI,4/1/24,20,1,0,0,0,0,0,113,9.6,21,123,5,0.6,5,118
DFW,ABI,4/2/24,6,1,0,0,0,0,0,15,6.6,18,22,0,0,5,20
DFW,ABI,4/2/24,8,1,100,100,100,0,0,0,12.6,24,9,8,0,6,2
DFW,ABI,4/2/24,13,1,100,100,100,0,0,0,1.6,13,0,4,0,0,0
DFW,ABI,4/2/24,16,1,100,100,100,0,0,0,6.6,18,3,7,0,0,0
DFW,ABI,4/2/24,20,1,100,100,100,0,0,0,5.6,17,2,7,0,0,0
DFW,ABI,4/3/24,6,2,0,0,0,0,0,50.5,9.6,21,60.5,0,0,5,55.5
DFW,ABI,4/3/24,8,1,100,100,100,0,0,0,11.6,23,6,9,0,2,0
DFW,ABI,4/3/24,13,1,100,100,100,0,0,0,10.6,22,9,10,0,7,5
DFW,ABI,4/3/24,16,1,0,0,100,0,0,18,1.6,13,20,6,0,0,9
DFW,ABI,4/3/24,18,1,100,100,100,0,0,0,5.6,17,5,5,0.6,0,0
DFW,ABI,4/3/24,20,1,100,100,100,0,0,0,11.6,23,11,3,1.6,1,0
DFW,ABI,4/4/24,6,1,0,0,0,0,0,36,7.6,19,44,0,1.6,6,42
DFW,ABI,4/4/24,9,1,0,0,100,0,0,19,2.6,14,22,6,0.6,0,13
DFW,ABI,4/4/24,13,1,100,100,100,0,0,0,1.6,13,0,2,1.6,0,0
DFW,ABI,4/4/24,16,1,100,100,100,0,0,2,0,11,2,4,0,0,0
DFW,ABI,4/4/24,18,1,100,100,100,0,0,0,0,10,0,5,1.6,0,0
DFW,ABI,4/4/24,20,1,100,100,100,0,0,0,4.6,16,0,5,4.6,0,0
DFW,ABI,4/5/24,6,1,0,0,0,0,0,23,5.6,17,29,0,0.6,5,28
DFW,ABI,4/5/24,9,1,100,100,100,0,0,0,0,11,0,3,0.6,0,0
DFW,ABI,4/5/24,13,1,100,100,100,0,0,0,1.6,13,0,7,0.6,0,0
DFW,ABI,4/5/24,16,1,100,100,100,0,0,0,1.6,13,0,4,0,0,0
